episode,total_reward,steps,eps
1,-9.0,20,0.995
2,-29.0,40,0.990025
3,-50.0,50,0.985074875
4,-24.0,35,0.9801495006250001
5,-50.0,50,0.9752487531218751
6,-21.0,32,0.9703725093562657
7,-50.0,50,0.9655206468094844
8,4.0,7,0.960693043575437
9,-50.0,50,0.9558895783575597
10,-19.0,30,0.9511101304657719
11,-3.0,14,0.946354579813443
12,-27.0,38,0.9416228069143757
13,-50.0,50,0.9369146928798039
14,-13.0,24,0.9322301194154049
15,4.0,7,0.9275689688183278
16,-39.0,50,0.9229311239742362
17,-3.0,14,0.918316468354365
18,-22.0,33,0.9137248860125932
19,-19.0,30,0.9091562615825302
20,-9.0,20,0.9046104802746175
21,-21.0,32,0.9000874278732445
22,-50.0,50,0.8955869907338783
23,-17.0,28,0.8911090557802088
24,-5.0,16,0.8866535105013078
25,3.0,8,0.8822202429488013
26,-11.0,22,0.8778091417340573
27,-50.0,50,0.8734200960253871
28,-15.0,26,0.8690529955452602
29,-10.0,21,0.8647077305675338
30,-3.0,14,0.8603841919146962
31,5.0,6,0.8560822709551227
32,-50.0,50,0.851801859600347
33,-28.0,39,0.8475428503023453
34,-50.0,50,0.8433051360508336
35,-7.0,18,0.8390886103705794
36,-6.0,17,0.8348931673187264
37,2.0,9,0.8307187014821328
38,-27.0,38,0.8265651079747222
39,-6.0,17,0.8224322824348486
40,-3.0,14,0.8183201210226743
41,-50.0,50,0.8142285204175609
42,-39.0,50,0.810157377815473
43,-36.0,47,0.8061065909263957
44,-27.0,38,0.8020760579717637
45,-6.0,17,0.798065677681905
46,-29.0,40,0.7940753492934954
47,1.0,10,0.7901049725470279
48,-16.0,27,0.7861544476842928
49,-11.0,22,0.7822236754458713
50,-50.0,50,0.778312557068642
51,2.0,9,0.7744209942832988
52,3.0,8,0.7705488893118823
53,-20.0,31,0.7666961448653229
54,2.0,9,0.7628626641409962
55,-20.0,31,0.7590483508202912
56,5.0,6,0.7552531090661897
57,-9.0,20,0.7514768435208588
58,-4.0,15,0.7477194593032545
59,-1.0,12,0.7439808620067382
60,-2.0,13,0.7402609576967045
61,3.0,8,0.736559652908221
62,0.0,11,0.7328768546436799
63,-13.0,24,0.7292124703704616
64,-8.0,19,0.7255664080186093
65,5.0,6,0.7219385759785162
66,-13.0,24,0.7183288830986236
67,-11.0,22,0.7147372386831305
68,-2.0,13,0.7111635524897149
69,-4.0,15,0.7076077347272662
70,1.0,10,0.7040696960536299
71,-5.0,16,0.7005493475733617
72,3.0,8,0.697046600835495
73,3.0,8,0.6935613678313175
74,0.0,11,0.6900935609921609
75,0.0,11,0.6866430931872001
76,-5.0,16,0.6832098777212641
77,5.0,6,0.6797938283326578
78,-20.0,31,0.6763948591909945
79,-6.0,17,0.6730128848950395
80,-7.0,18,0.6696478204705644
81,-3.0,14,0.6662995813682115
82,3.0,8,0.6629680834613705
83,5.0,6,0.6596532430440636
84,-20.0,31,0.6563549768288433
85,-6.0,17,0.653073201944699
86,-6.0,17,0.6498078359349755
87,4.0,7,0.6465587967553006
88,-10.0,21,0.6433260027715241
89,-13.0,24,0.6401093727576664
90,3.0,8,0.6369088258938781
91,5.0,6,0.6337242817644086
92,2.0,9,0.6305556603555866
93,-12.0,23,0.6274028820538087
94,-4.0,15,0.6242658676435396
95,0.0,11,0.6211445383053219
96,-7.0,18,0.6180388156137953
97,2.0,9,0.6149486215357263
98,1.0,10,0.6118738784280476
99,0.0,11,0.6088145090359074
100,5.0,6,0.6057704364907278
101,4.0,7,0.6027415843082742
102,3.0,8,0.5997278763867329
103,-3.0,14,0.5967292370047992
104,1.0,10,0.5937455908197752
105,0.0,11,0.5907768628656763
106,5.0,6,0.5878229785513479
107,1.0,10,0.5848838636585911
108,-3.0,14,0.5819594443402982
109,1.0,10,0.5790496471185967
110,5.0,6,0.5761543988830038
111,-2.0,13,0.5732736268885887
112,3.0,8,0.5704072587541458
113,5.0,6,0.567555222460375
114,0.0,11,0.5647174463480732
115,2.0,9,0.5618938591163328
116,0.0,11,0.5590843898207511
117,-3.0,14,0.5562889678716474
118,0.0,11,0.5535075230322891
119,4.0,7,0.5507399854171277
120,-5.0,16,0.547986285490042
121,5.0,6,0.5452463540625918
122,-4.0,15,0.5425201222922789
123,-9.0,20,0.5398075216808175
124,5.0,6,0.5371084840724134
125,5.0,6,0.5344229416520513
126,5.0,6,0.531750826943791
127,2.0,9,0.5290920728090721
128,0.0,11,0.5264466124450268
129,-3.0,14,0.5238143793828016
130,4.0,7,0.5211953074858876
131,-2.0,13,0.5185893309484582
132,1.0,10,0.5159963842937159
133,3.0,8,0.5134164023722473
134,-15.0,26,0.510849320360386
135,-16.0,27,0.5082950737585841
136,-1.0,12,0.5057535983897912
137,5.0,6,0.5032248303978422
138,-5.0,16,0.500708706245853
139,-2.0,13,0.4982051627146237
140,4.0,7,0.49571413690105054
141,-4.0,15,0.4932355662165453
142,2.0,9,0.4907693883854626
143,1.0,10,0.4883155414435353
144,3.0,8,0.4858739637363176
145,-23.0,34,0.483444593917636
146,2.0,9,0.4810273709480478
147,-9.0,20,0.47862223409330756
148,-1.0,12,0.47622912292284103
149,5.0,6,0.4738479773082268
150,3.0,8,0.47147873742168567
151,3.0,8,0.46912134373457726
152,-3.0,14,0.46677573701590436
153,5.0,6,0.46444185833082485
154,5.0,6,0.46211964903917074
155,5.0,6,0.4598090507939749
156,-1.0,12,0.457510005540005
157,0.0,11,0.45522245551230495
158,-5.0,16,0.4529463432347434
159,-1.0,12,0.4506816115185697
160,4.0,7,0.4484282034609769
161,-1.0,12,0.446186062443672
162,5.0,6,0.4439551321314536
163,0.0,11,0.4417353564707963
164,-3.0,14,0.43952667968844233
165,-2.0,13,0.43732904629000013
166,5.0,6,0.4351424010585501
167,1.0,10,0.43296668905325736
168,3.0,8,0.43080185560799106
169,3.0,8,0.4286478463299511
170,5.0,6,0.42650460709830135
171,4.0,7,0.42437208406280985
172,-6.0,17,0.4222502236424958
173,3.0,8,0.42013897252428334
174,3.0,8,0.4180382776616619
175,-5.0,16,0.4159480862733536
176,0.0,11,0.41386834584198684
177,3.0,8,0.4117990041127769
178,-1.0,12,0.40974000909221303
179,1.0,10,0.40769130904675194
180,-1.0,12,0.40565285250151817
181,4.0,7,0.4036245882390106
182,-1.0,12,0.4016064652978155
183,5.0,6,0.3995984329713264
184,-6.0,17,0.3976004408064698
185,-2.0,13,0.39561243860243744
186,4.0,7,0.3936343764094253
187,-2.0,13,0.39166620452737816
188,4.0,7,0.3897078735047413
189,4.0,7,0.3877593341372176
190,1.0,10,0.3858205374665315
191,0.0,11,0.38389143477919885
192,5.0,6,0.3819719776053028
193,3.0,8,0.3800621177172763
194,-7.0,18,0.37816180712868996
195,0.0,11,0.37627099809304654
196,-3.0,14,0.3743896431025813
197,3.0,8,0.37251769488706843
198,4.0,7,0.3706551064126331
199,5.0,6,0.36880183088056995
200,5.0,6,0.3669578217261671
201,5.0,6,0.36512303261753626
202,-2.0,13,0.3632974174544486
203,5.0,6,0.3614809303671764
204,2.0,9,0.3596735257153405
205,-2.0,13,0.3578751580867638
206,2.0,9,0.35608578229633
207,5.0,6,0.3543053533848483
208,4.0,7,0.35253382661792404
209,5.0,6,0.3507711574848344
210,5.0,6,0.34901730169741024
211,3.0,8,0.3472722151889232
212,4.0,7,0.3455358541129786
213,0.0,11,0.3438081748424137
214,3.0,8,0.3420891339682016
215,5.0,6,0.3403786882983606
216,4.0,7,0.3386767948568688
217,3.0,8,0.33698341088258443
218,-4.0,15,0.3352984938281715
219,5.0,6,0.33362200135903064
220,5.0,6,0.33195389135223546
221,5.0,6,0.3302941218954743
222,1.0,10,0.32864265128599696
223,4.0,7,0.326999438029567
224,5.0,6,0.3253644408394192
225,3.0,8,0.3237376186352221
226,2.0,9,0.322118930542046
227,1.0,10,0.32050833588933575
228,-1.0,12,0.31890579420988907
229,-5.0,16,0.3173112652388396
230,0.0,11,0.3157247089126454
231,2.0,9,0.3141460853680822
232,5.0,6,0.3125753549412418
233,1.0,10,0.31101247816653554
234,3.0,8,0.30945741577570285
235,3.0,8,0.3079101286968243
236,4.0,7,0.3063705780533402
237,0.0,11,0.30483872516307353
238,5.0,6,0.3033145315372582
